threshold,f1_score,precision,recall,jaccard,hamming_loss
0.0,0.31716417910447764,0.18888888888888888,0.9883720930232558,0.1885555555555556,0.732
0.012658227848101266,0.3235294117647059,0.1945754716981132,0.9593023255813954,0.19469444444444445,0.69
0.02531645569620253,0.3254861821903787,0.19751552795031055,0.9244186046511628,0.19732142857142854,0.659
0.0379746835443038,0.3333333333333333,0.2038961038961039,0.9127906976744186,0.20771031746031746,0.628
0.05063291139240506,0.33515881708652795,0.20647773279352227,0.8895348837209303,0.2091785714285714,0.607
0.06329113924050633,0.34085778781038373,0.211484593837535,0.877906976744186,0.21326190476190474,0.584
0.0759493670886076,0.34772462077012833,0.21751824817518248,0.8662790697674418,0.2203571428571428,0.559
0.08860759493670886,0.3546441495778046,0.2237442922374429,0.8546511627906976,0.22758730158730156,0.535
0.10126582278481013,0.3570536828963795,0.2273449920508744,0.8313953488372093,0.22754365079365077,0.515
0.11392405063291139,0.3626943005181347,0.23333333333333334,0.813953488372093,0.23472222222222222,0.492
0.12658227848101267,0.36988110964332893,0.23931623931623933,0.813953488372093,0.2395515873015873,0.477
0.13924050632911392,0.36906377204884666,0.2407079646017699,0.7906976744186046,0.2391587301587301,0.465
0.1518987341772152,0.37222222222222223,0.24452554744525548,0.7790697674418605,0.2417698412698412,0.452
0.16455696202531644,0.37446808510638296,0.24765478424015008,0.7674418604651163,0.24481349206349204,0.441
0.17721518987341772,0.3808139534883721,0.25387596899224807,0.7616279069767442,0.2518571428571428,0.426
0.18987341772151897,0.38814814814814813,0.26043737574552683,0.7616279069767442,0.25863888888888886,0.413
0.20253164556962025,0.39334341906202724,0.2658486707566462,0.7558139534883721,0.26280158730158726,0.401
0.21518987341772153,0.39445300462249616,0.26834381551362685,0.7441860465116279,0.2643412698412698,0.393
0.22784810126582278,0.40062597809076683,0.2740899357601713,0.7441860465116279,0.2691269841269841,0.383
0.24050632911392406,0.40253565768621236,0.2766884531590414,0.7383720930232558,0.2689087301587301,0.377
0.25316455696202533,0.4057971014492754,0.2806236080178174,0.7325581395348837,0.27221825396825394,0.369
0.26582278481012656,0.4006568144499179,0.2791762013729977,0.7093023255813954,0.2728611111111111,0.365
0.27848101265822783,0.4040066777963272,0.28337236533957844,0.7034883720930233,0.27694444444444444,0.357
0.2911392405063291,0.4067796610169492,0.28708133971291866,0.6976744186046512,0.2782619047619047,0.35
0.3037974683544304,0.4041095890410959,0.28640776699029125,0.686046511627907,0.27605555555555555,0.348
0.31645569620253167,0.4105263157894737,0.29396984924623115,0.6802325581395349,0.28494841269841265,0.336
0.3291139240506329,0.41651705565529623,0.3012987012987013,0.6744186046511628,0.2834365079365079,0.325
0.34177215189873417,0.41544117647058826,0.30376344086021506,0.6569767441860465,0.2809126984126984,0.318
0.35443037974683544,0.4208566108007449,0.3095890410958904,0.6569767441860465,0.28638888888888886,0.311
0.3670886075949367,0.42105263157894735,0.3111111111111111,0.6511627906976745,0.2875555555555555,0.308
0.37974683544303794,0.42585551330798477,0.3163841807909605,0.6511627906976745,0.29638888888888887,0.302
0.3924050632911392,0.42857142857142855,0.3208092485549133,0.6453488372093024,0.29566666666666663,0.296
0.4050632911392405,0.42248062015503873,0.3168604651162791,0.6337209302325582,0.29116666666666663,0.298
0.4177215189873418,0.42661448140900193,0.3215339233038348,0.6337209302325582,0.29283333333333333,0.293
0.43037974683544306,0.4277227722772277,0.32432432432432434,0.627906976744186,0.3025,0.289
0.4430379746835443,0.42971887550200805,0.3282208588957055,0.622093023255814,0.30602380952380953,0.284
0.45569620253164556,0.4317718940936864,0.3322884012539185,0.6162790697674418,0.30583333333333335,0.279
0.46835443037974683,0.43121149897330596,0.3333333333333333,0.6104651162790697,0.30466666666666664,0.277
0.4810126582278481,0.4329896907216495,0.3354632587859425,0.6104651162790697,0.3065,0.275
0.49367088607594933,0.4369747899159664,0.34210526315789475,0.6046511627906976,0.3115,0.268
0.5063291139240507,0.43829787234042555,0.34563758389261745,0.5988372093023255,0.31366666666666665,0.264
0.5189873417721519,0.4458874458874459,0.35517241379310344,0.5988372093023255,0.3208333333333333,0.256
0.5316455696202531,0.4497816593886463,0.36013986013986016,0.5988372093023255,0.32516666666666666,0.252
0.5443037974683544,0.4563758389261745,0.3709090909090909,0.5930232558139535,0.331,0.243
0.5569620253164557,0.4520547945205479,0.37218045112781956,0.5755813953488372,0.32549999999999996,0.24
0.569620253164557,0.45727482678983833,0.3793103448275862,0.5755813953488372,0.3326666666666667,0.235
0.5822784810126582,0.45794392523364486,0.3828125,0.5697674418604651,0.33399999999999996,0.232
0.5949367088607594,0.460093896713615,0.3858267716535433,0.5697674418604651,0.3365000000000001,0.23
0.6075949367088608,0.45933014354066987,0.3902439024390244,0.5581395348837209,0.3325000000000001,0.226
0.620253164556962,0.4578313253012048,0.39094650205761317,0.5523255813953488,0.32916666666666666,0.225
0.6329113924050633,0.4634146341463415,0.39915966386554624,0.5523255813953488,0.3316666666666667,0.22
0.6455696202531646,0.4668304668304668,0.40425531914893614,0.5523255813953488,0.3366666666666667,0.217
0.6582278481012658,0.46115288220551376,0.4052863436123348,0.5348837209302325,0.33049999999999996,0.215
0.6708860759493671,0.457286432160804,0.4026548672566372,0.5290697674418605,0.32716666666666666,0.216
0.6835443037974683,0.45685279187817257,0.40540540540540543,0.5232558139534884,0.32599999999999996,0.214
0.6962025316455696,0.4564102564102564,0.40825688073394495,0.5174418604651163,0.3231666666666666,0.212
0.7088607594936709,0.453125,0.41037735849056606,0.5058139534883721,0.3256666666666666,0.21
